Foods,Price/ Serving,Serving Size,Calories,Cholesterol mg,Total_Fat g,Sodium mg,Carbohydrates g,Dietary_Fiber g,Protein g,Vit_A IU,Vit_C IU,Calcium mg,Iron mg
Frozen Broccoli,0.16,10 Oz Pkg,73.80,0.00,0.80,68.20,13.60,8.50,8.00,5867.40,160.20,159.00,2.30
"Carrots,Raw",0.07,1/2 Cup Shredded,23.70,0.00,0.10,19.20,5.60,1.60,0.60,15471.00,5.10,14.90,0.30
"Celery, Raw",0.04,1 Stalk,6.40,0.00,0.10,34.80,1.50,0.70,0.30,53.60,2.80,16.00,0.20
Frozen Corn,0.18,1/2 Cup,72.20,0.00,0.60,2.50,17.10,2.00,2.50,106.60,5.20,3.30,0.30
"Lettuce,Iceberg,Raw",0.02,1 Leaf,2.60,0.00,0.00,1.80,0.40,0.30,0.20,66.00,0.80,3.80,0.10
"Peppers, Sweet, Raw",0.53,1 Pepper,20.00,0.00,0.10,1.50,4.80,1.30,0.70,467.70,66.10,6.70,0.30
"Potatoes, Baked",0.06,1/2 Cup,171.50,0.00,0.20,15.20,39.90,3.20,3.70,0.00,15.60,22.70,4.30
Tofu,0.31,1/4 block,88.20,0.00,5.50,8.10,2.20,1.40,9.40,98.60,0.10,121.80,6.20
Roasted Chicken,0.84,1 lb chicken,277.40,129.90,10.80,125.60,0.00,0.00,42.20,77.40,0.00,21.90,1.80
Spaghetti W/ Sauce,0.78,1 1/2 Cup,358.20,0.00,12.30,1237.10,58.30,11.60,8.20,3055.20,27.90,80.20,2.30
"Tomato,Red,Ripe,Raw",0.27,"1 Tomato, 2-3/5 In",25.80,0.00,0.40,11.10,5.70,1.40,1.00,766.30,23.50,6.20,0.60
"Apple,Raw,W/Skin",0.24,"1 Fruit,3/Lb,Wo/Rf",81.40,0.00,0.50,0.00,21.00,3.70,0.30,73.10,7.90,9.70,0.20
Banana,0.15,"1 Fruit,Wo/Skn&Seeds",104.90,0.00,0.50,1.10,26.70,2.70,1.20,92.30,10.40,6.80,0.40
Grapes,0.32,"10 Fruits,Wo/Rf",15.10,0.00,0.10,0.50,4.10,0.20,0.20,24.00,1.00,3.40,0.10
"Kiwifruit,Raw,Fresh",0.49,"1 Med Frt,Wo/Skin",46.40,0.00,0.30,3.80,11.30,2.60,0.80,133.00,74.50,19.80,0.30
Oranges,0.15,"1 Frt,2-5/8 Diam",61.60,0.00,0.20,0.00,15.40,3.10,1.20,268.60,69.70,52.40,0.10
Bagels,0.16,1 Oz,78.00,0.00,0.50,151.40,15.10,0.60,3.00,0.00,0.00,21.00,1.00
